Manufacturer,ProductName,review_site,language_country,review_rating,verified_purchase,review_date,review_title,review_text,product_url
Jabra,Elite 75t,"Amazon              ","en-US     ",4,1,2020-03-07,Look good an they sound! GREAT!,"They sound very good, all the way around. The sound profile is dynamic, an full. Wish amazon would sell the other colors, but they may be exclusive, to my knowledge, to other sellers. Fit in my ear pretty snug, an I like the way they look. But to be honest, I sent them back an got the new samsung buds+ due to battery life they provided. NO! THE GALAXY BUDS DO NOT SOUND BETTER THAN THESE. They sound good, but not better at all.",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",5,1,2020-01-08,Good wireless earbuds,Amazon sound easy to use and comfortable to wear,https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",5,0,2019-11-26,Recommended for audiophiles who love bass,"I started out with the new Sony WF1000-XM3 earbuds. They got great reviews and I always try to buy the best - price is secondary to sound, for me. After using them for a day or two, I found myself very disappointed in the sound so I went back to the store to see if there was something better. These new Jabras caught my eye, with their small size. I read the specs and was impressed with the battery life. I knew the 65t was good, so I figured this would be 10 better. I exchanged the Sonys and brought the Jabras home. I have to say, I am very impressed with the sound these little guys put out. The bass is OUTSTANDING, to the point where I have considered EQing it down (and I love bass). What's really great though, is that the rest of the frequencies are well represented, even in the face of all that low-end. It's like a car system with really good mids and highs, but then a sub in the back. (Obviously not as good as a real sub, but you get the idea.) The size and fit are great too, a really impressive bit of engineering. I haven't tested max battery life, because they're always in the charging case when not in my ears and I don't listen for *that* long. Speaking of charging case, I really like how small it is - much smaller than the Sony case. I can fit it in my front jeans pocket along with my Note 9! The app is useful and appealing to the eye. It has a 5-band EQ that you can save your own presets into. I bumped the top end a tiny bit but otherwise the sound is on point right out of the box. If you are an audiophile who loves bass, and you want the best on the market, I recommend these Jabra 75t earbuds without reservation. (These should have a 5-star average, but some people don't get how product reviews work.)",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",5,1,2020-02-22,!!! Love them !!,Love these worth the money,https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",1,1,2020-02-06,DON'T BUY NOT WORH HE MONEY,this product sucks,https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",3,1,2020-03-23,Won’t Work with Skype,"Fit is excellent, sound is excellent. BEWARE of using these with a laptop though. I bought them for multi use, work and pleasure, and found that while I can connect these to my laptop, while listening to music is fine, I cannot use them for Skype calls. Jabra doesn’t recommend them for laptop connectivity....of course I found that out after my purchase.",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",1,1,2020-01-11,sound quality is terrible and adjustment not accessible to blind users,"I bought the Jabra elite T75s on the strength of a reviewed from Wired.com and amazon reviews. What a mistake! I will say they fit in the ear comfortably and the case is convenient. but the sound quality is very tinny with no base. they sound like $2 Radio Shack headphones, and that's an insult to Radio Shack. Horrible. Plus although most of the sound-Plus app is accessible to blind users, the part which lets you adjust the treble and bass is not, so I couldn't try to make the sound better. If I hadn't had to destroy the box because I couldn't figure out how to get it open, I would send the T75s back in a heartbeat. My airpods sound much much better. Don't waste your time. Not worth the money.",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",2,0,2020-02-24,65t gives me a better fit,I have several of the 65t version. They fit my ear perfectly! With the 75t I can’t get a solid fit which means I can’t get a solid sound unfortunately. I really wanted to like the new design and was a different about upgrading. Probably won’t be using these.,https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",5,0,2019-12-25,Great Wireless Earbuds,"So what are you looking for in an earbud? If it is a pair that is wireless, small and comfy, look great, and have great sound and battery life, these could be in your future. The first thing you want to do is download the app and update the firmware. That will take about 15 minutes, but you will be up and running afterwards. My favorite feature is the ability to tweak the EQ to taste. This alone will make it easy to get great sound no matter what you favor. Once you get the sound to your taste, you will notice clear separation of instruments and very good out of the head type of sound. Some people refer to this as ""head stage"". In my experience, these rival some open backed headphones for the out of the head sound quality. Next, the battery life is very good on these earbuds. You get around 7.5 hours on a charge and you can charge them in their portable case which will get you up to 28 hours of battery without needing to plug them in. The main shortfall here is that you can't listen to one while the other charges. Well, you can charge the left bud and listen to the right one, but you can't listen while charging the right bud. That being said, you can get an extra hour of play with a 15 minute charge. The controls on these buds is second to none. You can even control volume without evoking Siri. They also have the ability to connect to 8 different devices and 2 can be connected simultaneously. I tested this with a Mac and an iPhone. You can be listening on the Mac, pause music and start playing on the iPhone and it will simply switch right over. That is cool! It works the other way around, as well. These don't offer active noise cancelling. However, the bud fits in the ear canal deep enough that it blocks out most sound. They include a tech call ""hear through"" that uses the mics to make it easy to hear what is going on around you, though. There is a slight hum when you have this feature turned up all the way, but you can put it half way up and still be able to hear around you without the hum. For best sound quality, I would recommend turning this feature off. All in all, I am very happy with these buds. I really like the looks and sound quality of them. My only gripe is the inability to charge the right bud while listening to the left bud. This would be great for charging while listening to a podcast. However, everything else hits the mark.",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Jabra,Elite 75t,"Amazon              ","en-US     ",3,0,2020-04-06,"Not for small ears, conducts body sounds, white noise always present","ears were sore after a couple hours of use due to the large hard plastic body that presses on the external ear canal (this not an issue with the changeable gels, but the hard plastic body). When i walk i can hear each step pound in my ears and sometimes can even hear my pulse. Handles sound and calls well but the hear-through feature creates quite a bit of static white noise. There is also a low level of static white noise when they are on but not in use (with hear-through turned off.) Overall they work fine but do not fit in small ears. unlike the models pictured, they do not sit flush in the ear and stick out quite noticeably. Will be returning :( I wanted them to work so badly but I may have to go with airpods pro just for the ergonomics (apple's hard plastic earbuds are also not comfortable for me)",https://www.amazon.com/product-reviews/B07X9VG6ZJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
