Manufacturer,ProductName,review_rating,verified_purchase,review_date,review_title,review_text
EarFun,Free,5,1,2019-07-01,amazing sound quality!,"Sound quality is awesome! This buds have an amazing sound quality, for 49 bucks, it is a steal! You can’t go wrong with these, the only con. It’s the case it feels cheap and weak but other then that you are good to go."
EarFun,Free,5,1,2019-07-02,Found the one,"Love the usb-c, fit (quite impressed, coming from Anker Neo), buds design, case design, and thank you thank you for usb-c! Been using two weeks now and battery life has been excellent and within advertised duration"
EarFun,Free,5,1,2019-07-04,Excellent wireless earbuds,"Packaged well and in a little charging and storage box which has magnets to further hold the earbuds in place. The box is compact and a perfect size for pockets or bag storage while out and about with you. The ear buds themselves also feel very solid and well made. The sound is fantastic and they were really easy to use, they paired with my phone immediately."
EarFun,Free,5,1,2019-07-04,Great for people who need a good fit and great Bass!,"I just received these buds yesterday and am very pleased with the punchy bass and high volume provided. I'm pretty picky with audio and these don't disappoint. I compared these to the Galaxy Buds by Samsung (of which i'm a fanboy) and these provide superior sound quality (especially the lows as i mentioned before)
Pros:
Great sound, Battery life, wireless charging, USB-C, amazing fit. Noise cancellation, waterproof ( Though i haven't tested this yet.) sturdy build, and the price was amazing for what I received. Cons:
Charging case is a little larger than I prefer, but its size is justified because of how much batter it contains. So far the case is the only con I've found. The only other thing i could think of would be the high end vocal could be slightly clearer. It does have a slightly muddy sound, but this can be tweaked in the sound setting of many phones. P.S. If you have really small ears the fit might stick out of your ear a little bit. my girlfriend looks a little goofy with these in her ear, but she is 5ft tall and very petite. All together you can't go wrong with purchasing these buds!"
EarFun,Free,4,1,2019-07-05,Very lightweight and comfortable.,"These are amazing for music, even better than my $150 pair of earbuds. They work well with Siri and the button in each earbud is very easy and soft to touch. They fit perfectly in my ear and are very light. Lots of positive to say about these buds, however during phone calls people hear me very low which is the reason I gave it 4 stars. If you don’t use them much to talk on the phone these earbuds are perfect and have become my default pair to enjoy music and podcasts. It is also water proof and I shower with them to not interrupt my podcast."
EarFun,Free,5,1,2019-07-06,Amazing sound at a good price,"The EarFun earbuds are ultra-simple to use and the sound quality is about as perfect as I have ever heard. The bass is so much better and overall clarity of sounds. The earbuds also have a cool, sleek design while maintaining a strong but lightweight build, they fit perfectly in the ear and don't fall off, I ran a few times while putting them on, and they didn't move a bit or fall. I paired headphones with my iphone and android devices without any issue. It has really good wireless range. I can easily listen to music while working in garden and phone being in house. Overall, I'm more than happy with my purchase and would recommend this to anyone looking for a relatively inexpensive pair of bluetooth earbuds."
EarFun,Free,5,1,2019-07-06,"It cancels out, outside noise","I like the sound quality and how it cancels out, outside noise. I use it to workout and watch my tv shows."
EarFun,Free,4,1,2019-07-06,This is an affordable and nice looking ear buds.,"Hi,This is an affordable and nice looking ear buds. Comes with chargeable case. I try to compare it to Samsung and Apple Brand product ,it is way cheaper than those big brand.I was listening music for few days and sound quality is good. Battery stays for few days. Easy pairing process.The one con is, it's bigger than those big brand products. But you save tons of money.so.I have no complaint on it.Thanks"
EarFun,Free,5,1,2019-07-13,Good stuff,"Nice earbuds. Clear and good bass . Sound over microphone is also very clear. Nice case , easy to pullout , usb type c . Must have"
EarFun,Free,5,1,2019-07-17,Great sound quality,These sound fantastic. 3rd set of wireless headphones I've tried and these are the first to fully answer the mail.
EarFun,Free,5,1,2019-07-19,Great Sound,Awesome sound and function works great in wet environment totally worth the price compete with $199 pairs
EarFun,Free,5,1,2019-07-19,Making Life More Fun & They donate to UNICEF,"The EarFun earbuds arrived and they are easy to use - set up and I don't mind how they feel. Sound quality is great for music - feels like I'm at a silent disco. Haven't tried to make a call yet. The only thing is I currently have no way to charge them bc you need a type C-USB cord or wireless charger, but I'm about to buy one. They donate a $1 for every review to UNICEF so hopefully UNICEF gets a $1 for this very honest review."
EarFun,Free,5,1,2019-07-22,They are magnetic for the case.Good feature.,Good sound . Easy to use.
EarFun,Free,5,1,2019-07-22,"Great sound, very comfortable",I have been trying out the earbuds for a week and I'm super impressed—by far the best sound I've heard from any wireless buds and better than many wired ones I've had. Glad I didn't spend multiple hundreds for another brand!
EarFun,Free,5,1,2019-07-24,No complaints so far,"For my sound quality standards the sound is perfect, bought it on prime day for 40 bucks and they are amazing, very easy to pair, good fit in my ears, no risk of falling during jogging, good distance between my phone or my galaxy watch, good battery life, wireless charging case and usb C, water proof, included mic and music control. Price is also great, can't complain about anything."
EarFun,Free,5,1,2019-07-29,Great quality especially at that price.,For the price these earbuds exceeded my expectations. The in case charging is such a plus. The sound quality and charging time alone is very much worth the money.
EarFun,Free,5,1,2019-07-30,Great earbuds!,"I am very surprised with the sound quality. Even without using any equalizer they sound great. It would be better to have more volume reserve, when using them with a phone I must increase volume to 100% to hear everything well."
EarFun,Free,5,1,2019-07-30,Wireless earbuds,Están cómodos. Se escucha muy vien la musica
EarFun,Free,5,1,2019-07-31,"Wonderful product, easy to use and looks great.","Better than I expected! After using it for a few days. Below are my experience:
- Fit: With the middle size, the fit is very good, providing a very good sound isolation effect. The earbuds fit very well into my ears, never fall out while I shake my head. - Connectivity: Love the fast connection to the phone. It connected instantly the moment you take out the right earphone from the casing. I guess that’s the wonder of Bluetooth 5.0. Left earphone connected well. I usually wear the right ear first before taking out the left earphone, and so far no issue at all. - Volume: very good volume, as the noise isolation is so good, the volume produced is more than enough. - Sound Quality: The sound was awesome for me. The isolation when you wear both the earphone makes the sound clearer. - Microphone: The mic works also well. I gave several calls to my friends with the earbuds, and we can hear each other clearly. - Latency: The latency is also very minimal that I can barely notice sync issues when watching videos in YouTube, Netflix or movies using the built in media player of my phone. - Battery Life: The battery life was awesome! I can use it up to 4 days without charging the casing (usage day by day for this). Charging was fast. This was based on charging via cable. I don’t have wireless charger, hence can’t comment on it. - Waterproof: Tried to shower with it 3 times and so far no issue. So it’s indeed waterproof. Cons:
- The push buttons are not very useful. Maybe touch control would be much better for me. But that is very personal. For this price, it is really an awesome earphone. Overall, I’m really satisfied with the earphone. The earbuds are surely worth their price."
EarFun,Free,5,1,2019-08-01,Long lasting earbuds,The left earbud is a quieter than the right side. Others say I seem far away when using for phone calls. Battery life is amazing. Great for listening to music. They also stay in place just fine. Over all I feel it is a great buy.
EarFun,Free,5,1,2019-08-01,Wonderful earphones for a great price!,"After testing them for a week I can confidently say that these earphones are great. Solid bass and full sound, I'd especially recommend them if you enjoy a full bass sound. If you prefer a lighter bass, that can always be managed with sound settings, and it still sounds great. Very good sound isolation as well. The battery life is great, especially with the case. The fit is very comfortable, doesn't hurt the ears after prolonged wear. It pairs very quickly and easily too, and I haven't had any connectivity issues. The earphones themselves are very light too which adds to the comfort. These earphones will get you a long way and it's amazing quality for the price!"
EarFun,Free,5,1,2019-08-02,Has good quality sound and comfortable wear!,"This ear buds has quality sound, comfortable wear for long time, the draw back is sometimes is hard pairing the other ear bud."
EarFun,Free,4,1,2019-08-03,Here the music,"I purchased these for my husband to wear under his helmet while he us riding his motorcycle. He said that he can hear most of the radio stations really well. He can also hear his phone call pretty well. There's an occasional interference but that maybe his signal. Also, sometimes the volume for the stations are not clear. For the money we would recommend them."
EarFun,Free,4,1,2019-08-03,They don't fall out while running,Bought these during Prime Day. Excellent workout headphones to use while running and swimming. Charge lasts a long time.
EarFun,Free,4,1,2019-08-07,"Everything is good, except the earbuds keep connect back to the phone after disconnect.","After few days of the ownership, this is my feedback, the earbuds is good, the fit, the sound, the distance between the earbuds and the phone before disconnect, the battery life. So far the only complain is the auto connection through the Bluetooth. Yes, it did connect fast when I pull the earbuds out of the case, and yes, it did disconnect when I put the earbuds back to the case to recharge or store. But the earbuds keeping connected back to the phone even both are in the case, and after few manual disconnect the Bluetooth device…isn’t is supposed to be keep disconnect until you pull the earbuds out of the case? Everything else about the earbuds is really good!"
EarFun,Free,5,1,2019-08-09,Always ready to use!,"If you like having your wireless earbuds always charged and ready for use, then this is it! Decent sound, waterproof, great fit and excellent value makes these perfect for the gym. I’m able to workout, hit the sauna and hot tub, and shower as they continue to function. Just don’t forget to wash your ears....."
EarFun,Free,4,1,2019-08-09,Excellent ear phones.,Great sound and volume.
