Manufacturer,ProductName,review_rating,verified_purchase,review_date,review_title,review_text
Samsung,Galaxy Buds Plus,1,0,2020-02-14,CANCER,It causes cancer. why buy ?
Samsung,Galaxy Buds Plus,5,1,2020-02-15,"So far, so good...","These are a decent set of true wireless earbuds. I have only had them for one day, so I may need to adjust this review later, but I have tried them in several ways and tried most of the options. They are comfortable and come with three sets of tips and wings. The wings help to keep the buds in your ear by hooking to the inner fold in your ear once twisted into place -- you can't feel them, but if you try to take out the earbuds, they have to be twisted to come out -- thus they feel secure in your ear. I also like that they can be used in either ear a single earbud -- you can have one charging in the case and use the other and then switch. It is also nice that when you take both out, it automatically pauses audio (or video). It does not automatically resume audio/video, but you can do that with a single tap. The ambient noise mode seems to work pretty well but I have noticed a whistling noise when moving quickly such as walking fast or running. I can definitely notice a difference with ambient noise with it on and with increasing/decreasing the sensitivity via the Wear app.
The case is nice and small, but I think that is why it only stores one full charge in it, but I have not tested the battery life yet. The sound is good with these earbuds. The equalizer could use more options. Call quality is decent, maybe a little tinny. Also, the person on the other side of my phone call reported distortion in wind, I am a little disappointed as I thought the extra microphones would be better at filtering out noise that was not my voice from the call. The touch controls are pretty sensitive and the only one you can customize is the long tap and there are limited options of volume (left lowers and right increases volume), voice command, or ambient sound (which turns it off or on, does not change the sensitivity)."
Samsung,Galaxy Buds Plus,5,1,2020-02-15,My new favorite earbuds,They sound amazing and the ambient sound is drastically improved!
Samsung,Galaxy Buds Plus,5,1,2020-02-15,Great!,"After years of trying to find wireless buds that fit well and sound great I basically gave up until I received these. They fit so snug and the bass kicks quite nicely. The ambient sound is a little weird at first but works very well, I no longer need to pause the music to have a quick conversation. Phone call clarity is great on both ends as well."
Samsung,Galaxy Buds Plus,4,0,2020-02-15,Decent upgrade to galaxy buds,"Downloaded firmware update after updating wearable app. It improved the sound quality. Comply foam tips for galaxy buds fit these. Sound quality overall is improved, it's not a giant improvement but it is noticable. Overall these are good earbuds. Comfortable, easily pocketable in case,long battery life. In my opinion, better than airpods."
Samsung,Galaxy Buds Plus,5,1,2020-02-15,Small and light,"Moving from Bose Soundsport Free and these are absolutely great. Much smaller and lighter, stereo calling compared to mono on Soundsport and better overall sound."
Samsung,Galaxy Buds Plus,5,1,2020-02-15,Great update,"Mic quality is so much better. Sound quality improved too, but I can confidently make calls now."
Samsung,Galaxy Buds Plus,5,0,2020-02-15,One thing is for certain,Epstein didn't kill himself
Samsung,Galaxy Buds Plus,5,1,2020-02-15,BIG IMPROVEMENTS!!!!!,"I'M LOVING IT!!!! NO REGRETS!!! For starters, 2 way speakers.... I'm loving it!! More ""tugs!"" You can really tell the difference. Okay, it has gotten more responsive touchwise and no delays at all. Games, music, or movies.. no problem. The magnets and hinge in the case has gotten tighter. You will now have no problem loosing your buds by falling off from the case when opened. This is not a complete review. So far I don't have anything bad to say. I haven't checked the mics, but watched a review on yt and it was crystal clear even outside. So, I will give these buds 5 stars!! I recommend!!! I'm loving it so much! It's not like ""meh"" feeling when you put them in.. it's like ""wooooah"". Another feauture they added is the volume control. Double tap the edge of the right bud and the volume turns up. Left bud, volume turns down. Make suke to go to labs settings and turn it on."
Samsung,Galaxy Buds Plus,5,0,2020-02-15,great headphones,the battery life is great on them and they work amazing.
Samsung,Galaxy Buds Plus,5,1,2020-02-15,Galaxy Buds+ are amazing,"So I was excited to upgrade from my Galaxy Buds to the new Galaxy Buds+ today. The extra battery kife, 11 hours, meant I could wear the buds longer each day. And the improved sound is anazing. But there is a feature that has not been touted yet and I think it makes these Buds+ number 1. It's the ambient noise feature. It includes options to increase ambient noise volume and I love it. I have a hearing loss issue and could use hearing aids. But these buds+ actually allow me to hear much better without expensive hearing aids. I thought the lack of ANC would be a show stopper, but with the proper fit ear tips, sound isolation is very acceptable and the extra battery life without ANC allows me to wear them much longer each day. I am very pleased so far. Highly Recommended. Best yet from any manufacturer. I am using them with a Note 10+ 5G and a Galaxy Watch Active 2. Wonderful experience I have wanted for years. Thanks Samsung"
Samsung,Galaxy Buds Plus,5,1,2020-02-16,Best Bang for your Buck,Airpods have left the chat......
Samsung,Galaxy Buds Plus,5,0,2020-02-16,Your $150 will not go wasted!,Excellent product and great upgrade over last year's buds!
Samsung,Galaxy Buds Plus,4,1,2020-02-16,Great sounds from these and easy pairing,"I loved the quality of the sound from these buds. I doubt you will find better and they likely rival many wired earphones. They fit well, feel comfortable and all of the features work great. My only problem and one that may make me return them is the latency when watching tv. I expect it is hard to find worse latency. Using the same setup, these thing are clearly awful and make using them for tv impossible unless you pay no attention to the lip sync. Using a cheap pair of older Taotronics BT earbuds, my same setup is spot on but with these, its just no go. I will give Samsung a little time to fix this and will try a couple of other options from my BT stuff drawer before returning them but they just cost way too much if unusable for my primary need. After a couple of days, something seems much better with the latency. Its not gone but is minimal. My rating may improve a lot if this keeps up and that dreaded return might not be in the cards. The still sound just great!"
Samsung,Galaxy Buds Plus,1,1,2020-02-16,DON'T GET THESE! Problems after ONE week! See updated review!,"My new daily drivers ahead of my Liberty Soundcore 2s. At first I was going to return these because they sound really low paired to my Galaxy S9 and they seemed not to pair to my iPhone 8. After watching Flossy’s video, I left them a bad review and then I watched Noah Herman’s video on how to pair them to my iPhone. Now I’m stoked. They work fine and sound much louder connected to that iPhone. I’m happy with my purchase and I highly recommend them. I never had the originals so I cannot compare them. I like the liberties but these are the truth. A+ AirPod killers. Update :
After only one week of pretty light use, they stopped connecting to each other and will only work one or the other... Not together.. I'm kinda teed off because for 150 bucks + tax I really expected more. I'm sending them (actually taking them) back and I'm going back to my Soundcore's. These are off of my list. I really tried but at this point it's a hard NO! SAMSUNG needs to get it together. ✊🏿"
Samsung,Galaxy Buds Plus,5,1,2020-02-16,Upgrade now!,Better all around quality. Especially ambient sound. Audio quality is phenomenal. No need to talk about batter haven't had them that long.
Samsung,Galaxy Buds Plus,5,1,2020-02-16,Best of great ever,Excellent improvements Call to device connectivity to better settings for the ambient sound in a huge change on battery life excellent work Samsung
Samsung,Galaxy Buds Plus,5,1,2020-02-16,Best wireless buds out there IMO,"I've tried the Sony WF1000XM3, Sennheiser momentums, Jay birds vista's, air pods pros, and the power beats pros and the Galaxy buds + are by far my favorite! Outstanding upgrade from last year's models! easy pairing, ambient sound is amazing, Value is perfect, battery life ridiculously impressive, and comfort is grade A."
Samsung,Galaxy Buds Plus,5,1,2020-02-16,dope,dope but the black is a fingerprint magnet
Samsung,Galaxy Buds Plus,5,1,2020-02-16,Worth every penny. Must buy!,"Wow. Incredibly comfortable, amazing sound quality, easy to use, long battery life, and so much more to brag about. Definitely worth buying."
Samsung,Galaxy Buds Plus,5,1,2020-02-16,impressive sound quality,Top notch sound quality. I believe that new dual drivers are actually BA drivers. AKG did a good job tuning the driver.
