Manufacturer,ProductName,review_rating,verified_purchase,review_date,review_title,review_text
Bose,NC700,5,1,2019-07-29,Great pair of ANC headphones!,"This is my first Bose purchase, so glad I didn’t let the negative reviews keep me from trying these. I had read all the problems others were having with the app but they connected to my Galaxy Note 8 with android 9.0 instantly. From there I paired them with my Surface Pro and desktop PC both with Windows 10 and they work great with both. I had no problems switching between either PC and the phone, just had to pause playback on one and start it on another. So far the only problem I’ve found is the play, forward, and back touch controls don’t work with the pc. The volume touch controls do though, all the touch controls work connected to the phone. The sound from these surprised me a lot after some of the reviews. They sound great, they have plenty of base and are very clear with all the music I’ve played. The ANC works very well, I’m able to still hear voices a little with it on 10 though. It works best with things like motor and AC noise. They are very comfortable to me, I haven’t had any discomfort at all with these even using them with a hat on. I hope Bose can get the app worked out for the iPhone users it’d be a shame for them to miss out on a great set of ANC headphones."
Bose,NC700,1,1,2019-08-02,DO NOT BUY [UPDATE: Additional issues],"As a lot of people have said, the app is horrendous. I was able to pair these to my Iphone X the first day but ever since they have never paired. I called Bose and their suggestion was just to pair to the phone instead of the app. Great but then you cannot use a majority of the features, including pairing to two devices at once. For the price you will be paying for these, either wait for a fix or go with the Sony's. Bose rep said they hope to have a fix in August but they aren't sure. This should be their top priority and the fact that it's taking so long makes me think this is more than just an app fix. Either way, don't waste your money at this point. It's not worth the hassle and frustration if you can't pair and effectively use the headphones. UPDATE - 8.14.19 - I have managed to experience an even more significant issue with the headphones. I have the headphones paired to both my cell phone and my laptop at the same time. While the headphones do a good job of switching between the two devices when a call is received, when I receive a call on my computer (through Skype for Business), the headphones constantly disconnect from the laptop during the call and sometimes will reconnect/other times just shut off completely. Either way, this disconnects me from the call until I can reconnect the headphones. This is completely unacceptable as it has resulted in multiple dropped calls with clients. I will be returning these asap and recommend that no one buy these until these issues are fixed."
Bose,NC700,5,1,2019-08-07,Very Impressed So Far,"These are beautifully constructed headphones. I chose the silver color. Bluetooth sound quality is getting close to excellent. I had no problems setting these headphones up and running right from the box using the Bose Music App. I set mine up after their first update. I see that today 8-7-19 they have made a second update to the app. These headphones are on par with wired units. I also own a pair of Bowers and Wilkins P7 wired headphones Using a Sony DAC with it. Up until now they were my headphones with superior sound. These Bose headphone match it. I also have the Bose Soundlink II headphones. They are lighter than this unit but no noise counseling. I really like this new design. Bose put some thought into this unit with design and quality. No more of that fabric material on the headband that disenegrates over time. The ear cup material is soft and appears sturdier too. They function well. The app is not perfect but adequate at this time. I haven't had time to test the second update. They really need to add an equalizer to the app with presets and customization like the Sony units. The unit has crystal clear highs, very good midrange and decent bass. The noise cancelling is great. I think the app will get better and better. So at this point I am very pleased with them. As a note, the luxe silver is beautiful but the black will probably look better aesthetically in the long run from showing normal wear marks."
Bose,NC700,1,1,2019-08-11,Poor,"Very disappointed after reading all the hype. Static at times, difficult getting assistant to work. For all the money they charge would have expected better, much better."
Bose,NC700,5,0,2019-08-12,Connectivity,I’m a crazy audiophile and have been using headphones since the mid 1980’s. Without a doubt these are Bose’s best headphones that provide Bluetooth wireless connectivity as well as an unbelievable amount of noise reduction. The Bose 700 is what you want.
Bose,NC700,5,1,2019-08-15,I’m Impressed!,"The difference between my original Bose over the ear noice cancelling headphones and the new 700 is like the difference between my old PT Cruiser and my new Jeep Grand Cherokee Summit! The upgraded technology is astonishing with blue tooth capabilities, noise cancelling levels, touch on/off, volume and audio control. They are lightweight and more comfortable than the original version. I love them and look forward to many years of enjoyment."
Bose,NC700,3,1,2019-08-15,Nice but poor ergonomics,Nice design. Good sound. But poor ergonomics. If U rest the headphone around your neck the cups point upwards leaking sound everywhere. Also the on off switch is not very distinct and u never know if u have turned it off or on unlike the previous q35
Bose,NC700,5,1,2019-08-16,overpriced but looks fantastic.,"It’s a little pricey. but looks great. no big design flaw. a little buggy app, but it has work around. Sure it’ll be fixed in the future."
Bose,NC700,5,1,2019-08-18,Great purchase. Awesome Headphone,Got it for my girlfriend and she watches videos and listen to songs while working and exercising. She loved the gift and happy with the product.
Bose,NC700,2,1,2019-08-19,"Average ( or probably below) Average quality for very high price, older version was way better","I have used the older version - QuietComfort - for over 3 years and loved it, so was very excited to buy this one, but this model is a big let down. Here are some bullet points about what I didn't like about these headphones
1. The head band is not large enough. At max, it just fits my head, if I wear a cap, it becomes a bit uncomfortable. Plus very uncomfortable on the neck when I'm resting my headphones on my shoulder when not listening
2. Noise cancelling not OK during calls, hear fairly loud hissing noise on call and multiple callers complained about hearing lot of outside noise. 3. Forces you to download app and also sign in with your email, without which it wont work
4. Didn't find any improvement in the noise cancellation ot sound quality over the old ones. I'll surelt stick to Bose but buy the old ones (QuietComfort) again rather than this, Definitely not value for cost."
