Manufacturer,ProductName,review_rating,verified_purchase,review_date,review_title,review_text
Anker,Soundcore Liberty 2 Pro,3,1,2019-10-10,Had higher expectation but quite disappointed,Base is good but quite overpowering. Sound quality is good but not the best. Sony mf-1000xm3 has much better sound overall. Fitting is awful...tried all eartips but still keep on slipping. Comfort wise they are ok.
Anker,Soundcore Liberty 2 Pro,4,0,2019-10-10,"Work great, worry about loss.","Really good sounding headphones. Only downsides would be the lack of volume control and they could look cooler.... AirPods look cool, these look like bluetooth earpiece from the early 2000’s .... mainly want them for working out and occasionally at work so I don’t really care what they look like. Update: I have since downloaded the app, and noticed there is an option to program the single button on each pod to be a volume control if pressed twice. So they do in fact have volume control. They have fallen out of my ears a couple times, I think I’ve tried all the ear pieces. This worries me a little because while I’ve noticed when it happened so far... I’m afraid eventually I won’t. I think AirPods Albert you when they fall out, and you can locate them? If so that would quickly pay for itself after a replacement set of anker libertys..."
Anker,Soundcore Liberty 2 Pro,5,0,2019-10-10,I love them!,I got my earbuds today so I don’t have much mileage on them yet but the sound is beautiful. I was pleasantly surprised by the amount of bass and the clarity that these can deliver. Soundcore has taken the foundation from the Zolo brand and brought it to an even higher level. I just wish I had bought two.
Anker,Soundcore Liberty 2 Pro,4,0,2019-10-12,Work for me!,"I listen to podcasts while I try to go to sleep and let them play all night long. These earbuds work great for me. I don't have to discern between the best bass or treble. I am mainly listening to talking or music for sleeping. Eight hours is enough time for me to sleep for the night, so that works great too. And I can recharge the buds quickly in case I am having one of those sleepless nights and go over 8 hours in bed without sleeping. I am pleased with these."
Anker,Soundcore Liberty 2 Pro,3,1,2019-10-13,Noticeable Background Static and Cannot Pair to Multiple Bluetooth Devices,"I was between the Jabra's and these, I bought these because they had usb-c and wireless case charging over the Jabras. These are cecent headphones with high quality sound and noise isolation. They fit well in the ear, I ran a couple of miles and they were still snug. Why 3 star rating? 1. There is background static, I'm not sure why it's there but its unacceptable. It's pretty loud between pausing and playing. It less noticeable when you're playing actual audio
2. No support for multiple Bluetooth devices! I have a personal phone, a work phone, tablet, bluetooth treadmill. For me to pair to each device I have to unpair the other device. Way too much of a hassle! 3. There are not enough control options in the soundcore app. Only double press and long press. For the price paid, I'm going to have to return these."
Anker,Soundcore Liberty 2 Pro,5,1,2019-10-13,Amazing Sound,Amazing sound quality! I love that I can use just the left or right earbud. On other products I have used you could only use the right one if you wanted to use just one ear piece. It has a slight background static sound when audio first stops. But I got used to it and stopped noticing it.
Anker,Soundcore Liberty 2 Pro,5,1,2019-10-15,Great Once Firmware is Updated,"I listen to a lot of Dance Music. On these, the sound is awesome, provided you update the firmware. Prior to updating the sound had screw scratching noises with the synth percussion, and that was not good. Anker went above and beyond with my issue, and I am pleased to say that the firmware update fixed the scratching sounds. Now, these sound robust and crisp and what I would expect from an Anker product. Thank you Anker for updating the firmware and solving my issue. I'll use these all the time now for exercising."
Anker,Soundcore Liberty 2 Pro,5,0,2019-10-15,The best Anker has put out.,"To be totally transparent, Anker sent these to me as a replacement unit. I'm very grateful to get my hands on these, as I would normally not spend this much on buds. I'm more of a sub $100 guy LOL Sound/feel/fitment are all outstanding. They provide numerous wings and tips to get a good fit. Through the app, you can try out different EQ pre-sets or even create your own custom. This is achieved through their software, via a ""hearing test"". You can also customize button functionality. (There is a button on the side/top of each bud) The case has a nice and tacky feel, and has a cool slide open feature. It charges with USB-C, which is nice. I have used the liberty airs, lites, and neos. These blow those away easily. Very happy with these, and am thankful for Ankers stellar customer service."
Anker,Soundcore Liberty 2 Pro,5,1,2019-10-15,5 star,I never leave reviews . But my first impressions of these are awesome. Perfect fit and very impressive sound
Anker,Soundcore Liberty 2 Pro,3,0,2019-10-15,"OK, but not good enough.","Anker got a lot of things right with the Soundcore Liberty 2 Pro. But some of the really big things just aren't good enough. First, setup was a bit fiddly. For some reason my iPhone 11 Pro (iOS 13.1.3) Bluetooth only found ""Soundcore Liberty 2 Pro-L"" which I assume meant the left earbud, though both left and right worked fine after pairing. That was a bit strange. Eventually, it showed both Soundcore Liberty 2 Pro and Soundcore Liberty 2 Pro-L in the Bluetooth settings. Deleting the ""L"" version made no difference to functionality, and the earbuds both worked. I'm pleased to see that the set reports its battery life (of the earbuds) to the iPhone. However, you don't see each earbud individually in the iOS battery widget or in control center - just the pair (what I assume is an average). If you download the Soundcore app it will show you both earbuds individually. After the setup, you'll still want to use the Soundcore app to tailor the EQ. I found bass booster to be the best for my particular ears, even with the largest inserts to ensure a tight seal in my ear. The bass isn't overpowering to me on this setting at all, though it might be for some depending on their ear shape. e.g. I can push the earbuds further into my ears (they don't stay there when I let go), and the bass is way more intense. So I imagine ear shape is going to play a massive factor here. But there are issues:
1.) These are fatiguing. There's no getting around it for me - if I'm using the larger inserts to ensure a tight seal and a semblance of bass, they fatigue my ears in ways the AirPods don't. Yes, the music quality etc is a little ""better"" with these over the AirPods, but AirPods I can wear all day and not be bothered. These? 20 minutes is hard work. Even after trying multiple different sizes and types, I couldn't find any inserts that worked for me without fatigue. 2.) The biggest issue: the ""static"" sound. I have absolutely no idea why these behave like there's ANC (active noise cancelling) present, because there isn't. On quieter pieces you're always aware of the static sound if you're sensitive to it (and probably even if you're not) and in between tracks it's really present. Pausing a song/movie etc, and the static goes away after a few seconds (a form of earbud sleep mode, no doubt - to conserve battery). I've no idea what's going on here, but I don't like it. Not one bit. 3.) Phone call quality. I tried using these for a Skype and FaceTime call, and the quality is truly dreadful. First, because your ears are ""plugged"" by these earbuds, you'll find yourself talking too loudly anyway, and it's just not comfortable to talk with your ears plugged, either. Second, phone voices are presented to you in tinny fashion, and callers on the other end said I sounded tinny/thin, too. Switching back to AirPods is revelatory for phone calls, either WiFi-based or cellular, for both me and my callers. These Anker earbuds are hopeless (in my testing) for phone calls of any sort. Both earbuds have a microphone, but there's no beamforming between then that I could tell. With both in, I found that only the left earbud's mic was active. 4.) Connection stability: Zero issues staying connected to my iPhone 11 over many hours. 5.) Case quality and charging: I like that you can wireless Qi charge the case/earbuds or charge via the USB Type-C to USB A cable (included). Also, I love the way the earbuds magnetize themselves into the case (like AirPods). This is very satisfying, as is the sliding mechanism to open and close the case. The case is much, much bigger than the AirPods case (over twice as large when you take into account height and width). 6.) iOS integration: I really like how you can pull an AirPod out of your ear, and the music etc pauses. Super great if someone needs to talk to you. No such integration with the Ankers. Overall, I prefer the AirPods by far. Contrary to the popular opinion, AirPods actually sound pretty darn great for what they are - (and no, they do NOT sound the same as wired EarPods, which are not great at all). For some, the Anker set will do it better, but for me they don't in pretty much any way. While many of my issues are subjective, the static sound really isn't, and this was a major deal killer for me even before anything else. 3 stars out of 5. OK."
Anker,Soundcore Liberty 2 Pro,5,0,2019-10-16,Outstanding!!!!! Highly recommend :-),"Amazing sound. Never before have I had a set of earbuds that produce such amazing sound. These give you true sound reproduction equal or better than most wired over the ear studio monitors. Rarely does a product live up to its media hype. This one is a rare exception. Highs are crisp, mids are full and balanced and bass response is outstanding, full and pleasant. No band is over driven and the sound reproduction is real and true to the original. At last True Studio quality completely wireless in-ear monitors. OK, they are not cheap.. but you definitely get what you pay for. Considering that they are 1/3 less than bose, offer better sound, are smaller and lighter.. It's a WIN/WIN... Extra cash in your pocket and great sound in your ears. Who could ask for more. Not only are the beautiful, the're comfortable too. Attractively packaged with a complete assortment of sizes to fit most any ear. Rarely do I ever ""Highly Recommend"" a product. These are outstanding and I highly recommend you give them a try. If you are in the market for wireless earbuds, these are the ones to get. You will not be sorry!!!!!! :-)"
Anker,Soundcore Liberty 2 Pro,4,1,2019-10-17,"Nice, worth the money","Very comfortabl, slight buzzing that you can get used to. Great quality sound, little sibilant but can be fixed in app with eq."
