Manufacturer,ProductName,review_rating,verified_purchase,review_date,review_title,review_text
Anker,Soundcore Liberty Air 2,5,0,2019-10-10,Better In Every Way,"A month ago, I bought a pair of the original Liberty Airs. I thought they were great but once the honeymoon phase wore off, problems became obvious. Ongoing connection issues. Weird battery drain. Pretty poor audio quality. Yesterday, I returned them and upgraded to the Liberty Air 2. The improvements are for real. CASE:
The case is slightly lighter and slimmer than its predecessor, with a more rectangular, pocket-friendly shape. It still features three battery status lights, now with a button on the bottom to check the charge without opening the case. It has a more matte finish and premium feel. And of course, USB-C and wireless charging. The lid magnet could be a touch stronger but not a big deal. DESIGN:
They completely redesigned the earbuds, now with slimmer stems, a matte finish and more solid feel. I actually thought I'd prefer the rigid look of the previous design but I was wrong. These look a lot nicer and more premium. SOUND:
I'm not sure if my previous pair of Liberty Airs was damaged, but I was constantly noticing rattling bass and tinny feedback. The Air 2 audio is noticeably fuller, the bluetooth connection is rock solid, and the customizable HearID feature actually works well. The difference between the two pairs is night and day for me. For context, I had a pair of first-gen AirPods. These sound better. The original Liberty Airs did not. TOUCH CONTROLS:
Unlike the original Airs, you can now customize your touch commands. They've also added volume controls, but you have to devote two different tap sequences if you want volume control (one for +, one for -) and give up something else (previous/next track/voice assistant). The touch sensitivity of the buds seems better but still a bit unreliable. The matte finish does feel a lot better to the touch, though. Removing an earbud pauses the music but audio doesn't resume when you reinsert the bud. That's kind of annoying, but the auto-pause is still a welcomed feature. BATTERY:
I'm only a day in but the battery life seems like it's significantly better and on par with Anker's estimate of 7 hours/charge. Maybe a touch less but impressive regardless. The battery level of my original Airs was all over the place and seemed to drain a lot faster than the promised 5 hours/charge. CALL QUALITY:
Huge improvement. Voice audio sounds much better and the microphones seem to pick up my voice well. Calls were a nightmare with my original pair of Airs. CONCLUSION:
The Air 2s are a significant improvement over the original Airs and an absolute steal."
Anker,Soundcore Liberty Air 2,5,0,2019-10-24,Stunning for the price.,"These a great headphones, battery life is stunning. Sound quality is really great. The case feels really premium. Call quality was crystal clear for all the calls I made, even with background noise. Once they are paired I find it really convenient to just take them out of the case and start using them. Bluetooth connection its really stable too. I have Airpods, Beats and Bose and trust me on these, the sound quality it’s fairly great considering the price. I feel really happy with these. The normal EQ preset on the soundcore app was like a flat EQ. Did not sound too great. But after setting the Hear iD EQ the sound improvement was really great. So I do recommend setting Hear iD. If you buy this you will not regret it. These can be a great airpods alternative at a really low cost compared to Apple. And Hey lets not forget about Anker’s outstading quality and customer service. These are a great buy overall."
Anker,Soundcore Liberty Air 2,2,1,2019-11-12,I wanted to like these but the sound quality was too tinny like the mids and highs were blasted...,"I really wanted to like these because they are nice and light, have a small light case and good touch controls. All this with USB-C and at a great price. However I am not sure if mine were defective, need a firmware upgrade, stuck in headset/call mode or are just not tuned correctly out of the factory but they sounded really bad. It sounded like the mids and highs were cranked up way too high. I tried using the app to change EQ settings but nothing helped. Back they go I guess. The Liberty 2's are still my favorite model and what I am sticking with for now."
Anker,Soundcore Liberty Air 2,4,1,2019-11-14,There's room for improvement here:,"Let's start off by saying that Anker/Soundcore customer service has been pretty responsive. I found it better to call than to wait for the 1 email per day from the service rep. Regardless, after a lot of time, my issue was resolved, and I got my original order... A month later. Unfortunately, the Liberty Pro 2's just aren't happening. Fast forward, I purchased the Liberty Air 2's and they are a much better product. They sound just as solid honestly and are way less bulky. The button controls need improvement. There is no single button press option which stinks. It would be nice to have that to play/pause and answer calls etc. That would leave the double tap for next/previous and long hold for Siri/assitant etc on an iphone. The charging case is confusing. I'd like to be able to have them in the case and not being charged continuously. That runs a battery down over time. If the case is closed, charging should cease and vice versa with charging continuing if the case is open. Or have a button to engage. There is a button on the bottom that could be coded to do this. The Soundcore EQ app. This leaves something to be desired. The user should be able to turn off the EQ or even manually control and customize a 10 band EQ & volume for each earbud. It's 2019. Fix the buttons, EQ, and charging and you'll have a 5 star product!"
Anker,Soundcore Liberty Air 2,5,1,2019-11-20,Good product,I’m please with the quality and sound. Overall good
Anker,Soundcore Liberty Air 2,5,1,2019-11-25,Great item!,Great item!
Anker,Soundcore Liberty Air 2,5,1,2019-11-26,Very Good Sound,The noise cancellation feature was fantastic. My wife had to tap my shoulder to be noticed.
Anker,Soundcore Liberty Air 2,5,1,2019-11-30,Inexpensive Truly Wireless earbuds with SUPERB sound,"Sound quality is EXCELLENT! I mainly use my headphones for music during my commute & to take phone calls. The HEARID works perfectly to create a personalized sound profile. Robust bass, sharp treble, crystal clear voice in both music & phone calls. I have had Apple AirPods when I had iPhone, switched to Galaxy Buds with my S10+ & now using the Liberty Air 2's with my Google Pixel. Out of the 3 these get the highest reccomendation for sound quality & overall usability. Had a small issue at first getting both earpieces to connect which was resolved fairly easily & quickly with a reset. Will definitely look to soundcore for future Bluetooth headset needs. Great product for its value!! !"
Anker,Soundcore Liberty Air 2,5,0,2019-12-01,Save your money on Apple-buds and get these for less. They sound better!,"The Soundcore 2's are nice and cheaper then that apple product that cost more and does not sound as good. well spent 90 bucks, and the EQ feature makes the buds sound even better!"
Anker,Soundcore Liberty Air 2,5,0,2019-12-01,Better Than AirPods Pro's,"I will be doing a direct comparison of these headphones with Apple's AirPods Pro's because they compete against each other and I owned both. (And returned the APP.)
PROS
Excellent sound quality. Better than the APP. (Yes, seriously.) You can even tweak the EQ with their dedicated app.
Battery life is better than the APP with 7 hours in one charge and 28 hours total. Charging case is compact, wireless, and provides better grip versus APP case because it is matte plastic versus the shiny APP case. Black option means you aren't limited to white stems sticking out of your ears. Excellent microphone in my testing. No issues with any calls to date. 5 silicone tips versus the APP 3 means you have plenty of options to find your perfect size. Excellent stable bluetooth connection. Value, can't be beat. $100 vs the APP $250. CONS
No ability to seamlessly connect between multiple bluetooth devices, like the APP. You will need to disconnect and reconnect a new device each time if you want to switch devices. No Transparency mode. This is a great feature of the APP where you can have ambient sound leak in when desired and it's just not available with the Air's. Controls. A mixed bag really. You do gain the option for volume control. (Press for 2 seconds on the left bud to increase the volume, 2 seconds on the right to decrease.) However this is just one level at a time. So if you want to keep going up or down in volume you need to keep lifting your finger after 2 seconds and doing the action yet again. Still happy the option exists. But overall I think the APP win this category with their squeezing motion of the stems versus needing to double tap to play/pause or track forward. MIXED BAG
Some people will swear by the active noise cancellation of the APP. In my experience I found it overrated to be honest and if you get a proper fit with the silicone tips you will have plenty of noise isolation on that front. CONCLUSION
Unless you need to switch between multiple devices often or want Transparency mode, I strongly suggest the Liberty Air 2's over the AirPods Pro. Superior sound quality and $250 vs $100. An easy choice."
