Manufacturer,ProductName,review_site,language_country,review_rating,verified_purchase,review_date,review_title,review_text,product_url
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-07-25,Amazing quality,"These headphones are unbelievably comfortable, the soft leather helps prevent fatigue, and the sound is very high quality. These have outperformed my skull candy hash in sound quality, battery life, and overall portability. Pairs easily with your phone. Overall a very nice set of headphones.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",4,0,2019-07-26,"Comfortable and ergonomic, great noise cancelling, sounds a little thin","I like these headphones. I did a side-by-side comparison with the beats solo and found a few key differences. The soundcore headphones are more comfortable and flexible than the beats. The ear cups are also large, which made me almost forget I was wearing them because they fit so nicely on my ear. The controls are plastic buttons, rather than the touch sensors on the beats - so they are not quite as sleek. Soundcore more than makes up for it in comfort though. The noise cancelling is also far superior to the beats. When I have these on, I cannot hear someone talking to me from 3 feet away, even when the volume is only at 50%. The only advantage that the beats have over the soundcore is depth of sound, the quality and crispness of music is definitely not as good in the soundcore as it is in competitors. If I did not have another set of headphones to compare it to, I probably wouldn't notice. Overall I would recommend these, especially for people wearing them for long durations or in especially noisy areas.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-07-27,Great sound with these headphones...,"These Bluetooth headphones are very comfortable & easy to set up. I can’t wear ear buds or anything that actually goes in the ear canal but the memory foam ear cups fit like a dream & effectively block outside noise. It’s also very easy to adjust the headband for a perfect fit. It was easy to pair with Bluetooth. I have an upcoming flight across country & I look forward to being in my own little world without listening to all the extra noise on the plane. A full charge gives 30-hours of wireless playtime & it has a notification tone when there are only 2 hours of playtime left. My trip is over 12 hours due to layovers & I don’t have to worry about my ear phones going dead. If there was any reason I didn’t have enough juice & no time for a full charge, 5 minutes gives a quick charge for 4 hours of listening. It has Hi-Res Audio for a great sound. I like strong bass in my music & by double pressing the play button it instantly strengthens the bass output. The headphones have a travel bag that has a pocket with a velcro closure to hold the AUX cable & & micro USB cable. The manual is easy to read & understand. I think the hardest thing for me was seeing the markings on the tiny controls on each earpiece. I haven’t taken any calls, as I’m not accustomed to the buttons, yet. Once I get used to them it’ll come naturally. These are really great headphones, probably the best I’ve seen in quite a while.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",4,0,2019-07-28,VERY good noise cancellation,"The Q20 headphones are some of the better noise cancelling headphones on the market. I've tried several brands and found that the four-microphone setup they use rivals the cancellation capability of my noise cancelling aviation headset which cost as much as a decent used car. That's pretty impressive. The design is comfortable, with the ear cups able to articulate in any direction necessary for a good fit. These might not do well with small people, however- I've got the headband adjusted to the smallest setting and I'm not even a small person. These would likely feel loose on a youngster's head. Sound quality. Therein lies my only criticism. The extra bass circuit is interesting and the overall sound is quite good. There is a noticeable lack of high end, it's just not a crisp sound. MANY headphones are this way, likely to help reduce listening fatigue. Imaging is nowhere near what some headphones are capable of, but those headphones (in my experience) don't have as competent of a noise cancelling capability. I'd rather have the Soundcore headphones on a long airplane trip because of that. I have not tried the microphone and cell phone capability because I use headphones exclusively for music. Overall, I'd give these a thumbs-up as they are a good compromise between sound quality and noise cancellation.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-07-28,So comfortable you will forget you are wearing them,"These ear cushions are heavenly. Cushy/soft and large enough to not cramp you ears. The next bit of awesome is the noise cancellation; this is tops for killing ambient noise, (love these on a flight). If the volume is set at a reasonable level you'll still be able to hear when someone is talking to you though. These aren't as great for sound as B&W PX or even something like Beats. The PX really are superb for music; they really add depth to any track I've ever listened to...there's just so much I didn't know I was missing. The Beats, too, are a bit better than these for sound quality. That being said, these are still solid, just less a bit less luxury for audiophiles.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-07-30,Nice-work great,Very nice pair of wireless headphones. They charged quickly and were very easy to pair with my phone. The buttons to adjust the sound are conveniently located and easy to use. The ear pieces are well padded and comfortable and the top part is adjustable to accommodate different head sizes. I’m not an expert but the sound quality seems to be really good/clear. No distortion that I noticed. Extremely pleased with the performance of these,https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",4,0,2019-07-31,Good headphones,Overall I am satisfied with these. They are comfortable and sound pretty good. The look nice. They fold flat for storage. They come with a bag for storage which is okay but will not protect them. They don't connect smoothly and powering them on is a little glitchy but not a major hindrance. Overall these are good. I have had better and I have had much worse.,https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",4,0,2019-07-31,Nice at the high end,"When I first put on the Soundcore headphones I had pretty low expectations as I had never heard of the brand, and this is a family which is pretty serious about audio. That said, I was expecting something pretty generic and was pleasantly surprised. The first piece I listened to was acoustic guitar, and the clarity was beautiful. There was no background noise and I could hear the guitar strings clearly. That does not happen often, at least with low end or mid-range headphones. When I test headphones I put them through a broad range of music and listen for a couple of hours as many will improve with burn in. My experience with these was different. I liked them less as I listened longer. I did not notice a significant improvement with burn in, or in fact, much of a change when I used the bass boost button. Now I am not a fan of boosted bass. For one, I prefer a more natural balanced sound. I have also found that on most boosted bass equipment (speakers and headphones) something is lost, sacrificed. The high end and mids are usually lost or just not handled well. A couple of months ago I tried a set in which this was not the case, Sony's mid range boosted bass headphones, where the equalization shift was evident but the highs and mids were lower without having a reduced sound quality. I have tried a lot of headphones this year and purchased several sets. It seems to be the year that bluetooth was really figured out. There are a number of good sets out there and this is not among the best, even in the price range. It is good, better than average, but not as good as any of the Sony's, or Sennheisers. The highs on these are better than most, but the bass is not as good, even with bass boost on. They have nice clarity but do not touch the Sony WH1000s. There is not much of a sound stage. They sounded better with a solo guitar than with a band or orchestra. Stereo and localization is not as good as with a lot of other headphones, and good stereo is something I consider important in audio. That said, these would not work especially well as a gaming set (but they are not presented as such) but they also lack some as audio phones without good separation. My review may be a bit technical for some, but I know that there are a lot of people who do a fair bit of research before they purchase. I am one. The noise cancellation is good, and I do not believe it interferes with the sound (it does on some). I am not sure it is the best. Sony's nopise cancellation is startling. When I tried them we had a thundesrstorm which I was completely unaware of until I took them off and went outside. The noise cancellation on the Soundcore is good but I am not sure it is as good. It may be. I did not have that level of background noise when I tried these so I can not really be sure. They headband is light and pretty comfortable. It does not clamp tightly like some I have tried, did not give me a headache even after wearing them for hours, but I would not call them cushy (like Sennheisers). They are huge! I had to wear them on the smallest setting. These would not work for teens or kids, or even petite adults. The ear cups are padded, and comfortable but the synthetic leather builds up heat pretty quickly. Even wearing them in the evening, in air conditioning, I had to take them off to cool down. That is, I was getting so hot that it was really uncomfortable. I live in Hawaii, and so it is more of an issue here than most places, but it is worth knowing that the material does not breathe and that there is heat build up. They are articulated and fold well which adds to the comfort and fit, and also makes them very mobile. I have given these to my daughter to try because she listens to a different range of music than I do. I may adjust my rating dafter she has tried them. She likes a lot of bass, so I do not expect her to like these better than I did, but I could be wrong. The literature says they use an algorithm to adjust bass and it is possible that it will work better with the music she listens to than what I listen to. In sum, I think these are pretty good mid-range phones. The high end has very nice clarity but the bass is somewhat lacking. I did not find the sound as rich as my Sennheisers, or as precise as my Sony's. The headset is light, adjustable, comfortable. They fold and would be good as a mobile headset. The noise cancellation is good, and I can see wearing these on a city street. All in all I think these are significantly better than average, but not my personal favorites.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-08-01,Great sound. Hit or miss on voice.,"I've been using his Beo H7's as, my last pair of headsets, have finally gone kaput. While I like the sound & voice quality on the H7, don't like how firm the ear pieces are. Very dense, almost rock-like foam. If you lie down, they dig. Also, not a fan of Beo's ANC. It had what I call, ""Succulating"". Sucks the noise out so hard, you're in a vacuum vortex of isolating. Some may like this, I find it makes me feel off balance. So those are the 3 major features where Anker's Q20 excels. - sound quality incredible - pillow soft ear foam - noise cancelling quiets while still letting in removed outside noise. From a safety issue, I prefer to still be aware of noises around me, just don't want them invading my happy place. Challenges of the Q20 - phone quality always clear on my end but listeners complained of static in a variety of situations - the headphones slip, and sometimes fall off, with excessive motion, ie Blink182. - won't pair to soundbar. Only pairs to app related audio where you can click the Q20. All in all, if the current price point really remains at$59, these are a steal. I would pay double that just on the exceptional sound quality & comfort. Perhaps pick up an Aftermarket headband for fit.",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
Anker,Soundcore Life Q20,"Amazon              ","en-US     ",5,0,2019-08-02,"Comfortable, sound cancelling, and good sound!","These are great. My husband worked a 16 hr shift at work, and they were at half battery life. These cancel sound well in noisy environments, and the sound quality is spot on. They are also extremely comfortable, and easy to pair with any bluetooth. Really a great buy!",https://www.amazon.com/product-reviews/B07NM3RSRQ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&formatType=current_format&language=en_US
